Detector, Descriptor, 1 (ms), 2 (ms), 3 (ms), 4 (ms), 5 (ms), 6 (ms), 7 (ms), 8 (ms), 9 (ms),Average (ms),STD (ms)
SHITOMASI, BRISK,209.567,209.032,207.233,210.946,207.95,207.942,212.368,209.228,213.093,209.71,2.03
SHITOMASI, BRIEF,17.4736,18.1589,17.8917,18.9097,16.8837,16.2634,16.4992,18.7195,17.8832,17.63,0.93
SHITOMASI, ORB,18.1589,18.6864,18.3153,18.1877,17.9817,18.1252,18.5185,17.7612,15.0988,17.87,1.07
SHITOMASI, FREAK,44.4234,42.2961,42.79,42.1662,42.7031,42.201,42.4443,42.3592,43.0027,42.71,0.70
SHITOMASI, SIFT,23.8206,23.0657,23.5084,24.7196,23.2668,23.5291,23.7716,23.6538,23.3331,23.63,0.48
HARRIS, BRISK,232.966,233.776,234.91,234.128,240.994,233.024,235.27,247.991,249.261,238.04,6.48
HARRIS, BRIEF,14.0529,13.5106,13.5831,14.4494,20.9701,13.6889,14.4893,14.5531,16.4231,15.08,2.38
HARRIS, ORB,13.6393,14.6742,13.9767,14.7396,21.489,14.2877,15.0947,14.9786,16.9219,15.53,2.42
HARRIS, FREAK,40.6059,40.1504,39.7834,42.0099,49.8201,40.9469,42.3554,41.281,43.0677,42.22,3.04
HARRIS, SIFT,23.1505,23.5716,23.8082,24.415,31.7586,23.5841,24.7258,24.1391,26.3195,25.05,2.68
FAST, BRISK,199.775,199.222,200.913,198.784,200.042,199.786,199.19,199.905,199.174,199.64,0.63
FAST, BRIEF,6.78021,7.11726,6.53207,6.55003,6.16942,6.7615,6.48588,6.34297,6.21336,6.55,0.30
FAST, ORB,6.84914,6.60365,6.90475,6.39488,6.36742,6.44649,6.37036,6.35739,6.35596,6.52,0.22
FAST, FREAK,35.7187,34.7934,34.8805,34.1187,34.0968,34.1098,33.9754,34.1612,34.0914,34.44,0.58
FAST, SIFT,17.6835,17.9654,17.1203,17.9622,17.2401,17.6221,18.7153,17.4192,17.8748,17.73,0.48
BRISK, BRISK,420.584,422.651,420.915,429.109,435.231,421.748,420.692,423.666,431.754,425.15,5.47
BRISK, BRIEF,236.985,229.493,227.307,227.167,228.546,230.215,227.228,226.207,227.3,228.94,3.27
BRISK, ORB,233.153,232.116,232.505,231.721,232.493,231.25,232.533,237.597,241.462,233.87,3.39
BRISK, FREAK,257.475,256.358,256.707,290.815,257.927,258.507,255.192,255.24,255.718,260.44,11.45
BRISK, SIFT,262.711,263.354,262.084,262.202,261.275,262.768,261.316,262.344,261.323,262.15,0.74
ORB, BRISK,203.531,204.571,203.997,203.818,204.986,204.97,203.033,204.642,204.719,204.25,0.69
ORB, BRIEF,11.1598,11.3901,10.6723,11.0391,10.6768,11.1552,10.7537,10.8151,10.9725,10.96,0.25
ORB, ORB,14.6622,15.129,14.374,14.2708,14.4326,14.9038,14.8347,14.5436,15.594,14.75,0.42
ORB, FREAK,39.6476,37.8333,38.3946,38.855,38.859,38.2246,38.3064,39.0195,38.3994,38.62,0.54
ORB, SIFT,20.8032,20.3853,20.1745,20.2749,20.244,20.2716,19.9853,20.0327,20.4953,20.30,0.25
AKAZE, BRISK,255.969,254.638,251.834,253.908,254.84,248.558,262.895,254.46,254.145,254.58,3.80
AKAZE, BRIEF,60.7781,58.7318,57.9773,60.0454,60.4314,57.0931,57.3244,58.8272,58.1869,58.82,1.34
AKAZE, ORB,62.6419,64.9621,63.842,62.8332,64.6201,61.0079,62.7169,62.3931,64.0797,63.23,1.25
AKAZE, FREAK,88.0667,86.53,87.1563,87.0734,83.9465,82.0102,81.5209,83.5033,85.5363,85.04,2.38
AKAZE, SIFT,71.3022,68.6151,70.2435,70.405,68.6585,70.5593,68.704,68.1707,68.2674,69.44,1.18
SIFT, BRISK,258.419,262.746,249.634,262.38,246.605,247.73,250.494,249.011,247.89,252.77,6.52
SIFT, BRIEF,82.4737,67.5603,68.5464,67.0798,67.3876,68.0111,68.6677,69.5455,68.4325,69.74,4.83
SIFT, ORB,82.5982,82.5665,81.1025,81.204,83.1812,81.2378,81.2929,83.7575,81.4883,82.05,1.00
SIFT, FREAK,105.561,93.1208,94.4152,94.5556,96.3407,97.0702,97.2069,98.7695,100.432,97.50,3.78
SIFT, SIFT,91.9294,92.5101,92.1116,92.2027,95.6357,91.3486,92.3122,93.3987,91.3275,92.53,1.32
